name,neighborhood,url_slug,res_id,rating
Mediterraneo Greenwich,Downtown,mediterraneo-greenwich,2048,4.69936708860759
Pheasant,Williamsburg,pheasant,3073,4.69406392694064
Rosemary's,West Village,rosemarys,2,4.64949089787103
Bar Moga,SoHo,bar-moga,2051,4.37606837606838
Minetta Tavern,Greenwich Village,minetta-tavern,4,4.68971631205674
40/40 Club,NoMad,40-40-club,1029,3.9467680608365
Balthazar,SoHo,balthazar,7,4.0
Empellón Taqueria,West Village,empellon-taqueria,8,4.63414634146341
Jack The Horse Tavern,Brooklyn Heights,jack-the-horse-tavern,2057,4.63091482649842
El Toro Blanco,Greenwich Village,el-toro-blanco,18,4.0
Pietro Nolita,Nolita,pietro-nolita,3683,3.92
Blenheim,West Village,blenheim,1046,4.18991964937911
Smörgås Chef,Murray Hill,smorgas-chef,1047,4.48201438848921
FERNS,East Village,ferns,2073,4.67796610169492
Morandi,West Village,morandi,26,4.48760330578512
Balaboosta,West Village,balaboosta,27,4.56798245614035
Frankies 570 Spuntino,West Village,frankies-570,28,4.50093225605966
J Casa NYC,Midtown West,j-casa-nyc,3101,4.38461538461539
Ides,Williamsburg,ides,1054,4.41720779220779
MyMoon Restaurant & Events Venue,Williamsburg,mymoon-restaurant-and-events-venue,3103,4.75
Periyali,Flatiron,periyali,32,4.5063829787234
Pasta Dal Cuore,Downtown Jersey City,pasta-dal-cuore,2081,4.61029411764706
Grace's,Greenwich Village,graces,3108,5.0
Miss Lily's Soho,SoHo,miss-lilys,40,4.5738427626745
Motel Morris,Chelsea,motel-morris,1065,4.57603092783505
Karasu,Fort Greene,karasu,519,4.67322950337937
Kings Co Imperial - Lower East Side,Lower East Side,kings-co-imperial-lower-east-side,2738,4.74503311258278
Claudette,Greenwich Village,claudette,47,4.57872928176796
Rotisserie Georgette,Upper East Side,rotisserie-georgette,48,4.0
Sushi Seki Chelsea,Chelsea,sushi-seki-23rd,49,4.77426108374384
BLT Prime,Gramercy Park,blt-prime,50,4.40229885057471
American Whiskey,Chelsea,american-whiskey,2101,4.28272251308901
Huertas,East Village,huertas,55,4.59565580618212
Center Bar,Midtown West,center-bar,2105,4.50588235294118
Craft,Flatiron,craft,351,4.58044164037855
Frankie & Johnnie's,Hell's Kitchen,frankie-and-johnnies,3132,3.95238095238095
Beco,Willamsburg,beco,2109,4.59259259259259
Attraversa,Tribeca,attraversa,3134,4.52702702702703
Harlem Hookah,Harlem,harlem-hookah,3135,3.7037037037037
Desnuda,Williamsburg,desnuda,3136,4.40909090909091
The Gatehouses at Kings County Distillery,Brooklyn Navy Yard,the-gatehouses-at-kings-county-distillery,2115,4.30769230769231
Westlight,Williamsburg,westlight,1093,4.49746192893401
Leuca,Williamsburg,leuca,1094,4.53898305084746
Kingside,Theater District,kingside,71,3.81818181818182
Vintry Wine & Whiskey,Financial District,vintry-wine-and-whiskey,2120,4.43333333333333
Casa Pública BK,North Williamsburg,casa-publica-bk,2122,4.6
Bowery Meat Company,East Village,bowery-meat-company,76,4.0
